iso3c,dtp3,ln_gdp,urb,ln_pop,hdi
SLV,0.86,9.159,0.74,15.6561,0.674
SOM,0.42,7.0031,0.47,16.6487,0.38
SRB,0.9,9.9523,0.57,15.7324,0.805
SSD,0.33,6.8024,0.2,16.2134,0.381
STP,0.89,8.3894,0.76,12.3458,0.613
SUR,0.82,9.741,0.66,13.3375,0.73
SVK,0.98,10.4043,0.54,15.5203,0.855
SVN,0.97,10.6454,0.56,14.5574,0.926
SWE,0.98,10.9682,0.88,16.1181,0.952
SWZ,0.83,9.159,0.24,13.9978,0.61
TCD,0.37,7.3778,0.24,16.7059,0.394
TGO,0.87,7.7407,0.43,16.0127,0.547
THA,1,9.7981,0.53,18.0922,0.803
TJK,0.91,8.4118,0.28,16.1181,0.679
TKM,1,9.6158,0.53,15.6718,0.744
TTO,0.88,10.1659,0.53,14.221,0.814
TUN,0.98,9.3057,0.7,16.3004,0.732
TUR,0.99,10.5187,0.77,18.2582,0.855
TZA,0.87,8.0064,0.37,17.9899,0.532
UGA,0.91,7.7832,0.26,17.6657,0.55
URY,0.9,10.0858,0.96,15.0393,0.83
USA,0.93,11.0666,0.83,19.6237,0.927
UZB,1,8.9872,0.5,17.3709,0.727
VEN,0.77,8.8537,0.88,17.1477,0.699
VNM,0.97,9.3057,0.39,18.4005,0.726
YEM,0.49,7.824,0.39,17.312,0.424
ZAF,0.76,9.5468,0.68,17.9099,0.717
ZMB,0.83,8.1605,0.45,16.8112,0.569
ZWE,0.86,7.901,0.32,16.5881,0.55
